train_range,test_range,test_total_profit_pct,best_params
20231028-20240126,20240126-20240225,0.65,"{""params"": {""adx_period"": 10, ""adx_threshold"": 24, ""atr_period"": 17, ""bb_period"": 19, ""bb_std"": 1.7, ""macd_fast"": 8, ""macd_signal"": 10, ""macd_slow"": 28, ""stoch_d_period"": 5, ""stoch_k_period"": 12, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 2.16, ""stoch_overbought"": 90, ""stoch_oversold"": 12}, ""minimal_roi"": {""0"": 0.547, ""457"": 0.113, ""1148"": 0.037, ""1953"": 0}, ""stoploss"": -0.241, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20231127-20240225,20240225-20240326,2.09,"{""params"": {""adx_period"": 12, ""adx_threshold"": 22, ""atr_period"": 14, ""bb_period"": 17, ""bb_std"": 2.164, ""macd_fast"": 13, ""macd_signal"": 12, ""macd_slow"": 20, ""stoch_d_period"": 3, ""stoch_k_period"": 16, ""stoch_threshold"": 55, ""atr_stoploss_multiplier"": 2.081, ""stoch_overbought"": 81, ""stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.283, ""375"": 0.158, ""1073"": 0.047, ""2344"": 0}, ""stoploss"": -0.29, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20231227-20240326,20240326-20240425,0.29,"{""params"": {""adx_period"": 18, ""adx_threshold"": 29, ""atr_period"": 15, ""bb_period"": 17, ""bb_std"": 1.569, ""macd_fast"": 11, ""macd_signal"": 7, ""macd_slow"": 28, ""stoch_d_period"": 5, ""stoch_k_period"": 19, ""stoch_threshold"": 45, ""atr_stoploss_multiplier"": 3.276, ""stoch_overbought"": 86, ""stoch_oversold"": 14}, ""minimal_roi"": {""0"": 0.158, ""144"": 0.123, ""347"": 0.043, ""1018"": 0}, ""stoploss"": -0.034, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20240126-20240425,20240425-20240525,0.02,"{""params"": {""adx_period"": 18, ""adx_threshold"": 30, ""atr_period"": 20, ""bb_period"": 25, ""bb_std"": 2.236, ""macd_fast"": 16, ""macd_signal"": 10, ""macd_slow"": 29, ""stoch_d_period"": 6, ""stoch_k_period"": 19, ""stoch_threshold"": 50, ""atr_stoploss_multiplier"": 2.756, ""stoch_overbought"": 84, ""stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.427, ""379"": 0.124, ""681"": 0.033, ""1911"": 0}, ""stoploss"": -0.145, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20240225-20240525,20240525-20240624,0.16,"{""params"": {""adx_period"": 13, ""adx_threshold"": 28, ""atr_period"": 18, ""bb_period"": 20, ""bb_std"": 2.204, ""macd_fast"": 16, ""macd_signal"": 9, ""macd_slow"": 24, ""stoch_d_period"": 6, ""stoch_k_period"": 18, ""stoch_threshold"": 49, ""atr_stoploss_multiplier"": 3.804, ""stoch_overbought"": 90, ""stoch_oversold"": 24}, ""minimal_roi"": {""0"": 0.226, ""357"": 0.117, ""731"": 0.07, ""979"": 0}, ""stoploss"": -0.243, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20240326-20240624,20240624-20240724,1.69,"{""params"": {""adx_period"": 16, ""adx_threshold"": 20, ""atr_period"": 13, ""bb_period"": 20, ""bb_std"": 2.452, ""macd_fast"": 10, ""macd_signal"": 10, ""macd_slow"": 27, ""stoch_d_period"": 5, ""stoch_k_period"": 17, ""stoch_threshold"": 51, ""atr_stoploss_multiplier"": 3.155, ""stoch_overbought"": 76, ""stoch_oversold"": 15}, ""minimal_roi"": {""0"": 0.401, ""185"": 0.197, ""388"": 0.059, ""1773"": 0}, ""stoploss"": -0.305, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20240425-20240724,20240724-20240823,0.33,"{""params"": {""adx_period"": 17, ""adx_threshold"": 28, ""atr_period"": 13, ""bb_period"": 21, ""bb_std"": 1.984, ""macd_fast"": 14, ""macd_signal"": 9, ""macd_slow"": 27, ""stoch_d_period"": 3, ""stoch_k_period"": 13, ""stoch_threshold"": 55, ""atr_stoploss_multiplier"": 3.504, ""stoch_overbought"": 87, ""stoch_oversold"": 12}, ""minimal_roi"": {""0"": 0.475, ""219"": 0.061, ""573"": 0.034, ""1919"": 0}, ""stoploss"": -0.244, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20240525-20240823,20240823-20240922,2.14,"{""params"": {""adx_period"": 16, ""adx_threshold"": 21, ""atr_period"": 14, ""bb_period"": 16, ""bb_std"": 1.728, ""macd_fast"": 9, ""macd_signal"": 8, ""macd_slow"": 27, ""stoch_d_period"": 3, ""stoch_k_period"": 13, ""stoch_threshold"": 53, ""atr_stoploss_multiplier"": 3.092, ""stoch_overbought"": 78, ""stoch_oversold"": 21}, ""minimal_roi"": {""0"": 0.216, ""182"": 0.056, ""439"": 0.028, ""744"": 0}, ""stoploss"": -0.299, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20240624-20240922,20240922-20241022,0.51,"{""params"": {""adx_period"": 16, ""adx_threshold"": 20, ""atr_period"": 20, ""bb_period"": 21, ""bb_std"": 2.055, ""macd_fast"": 15, ""macd_signal"": 10, ""macd_slow"": 20, ""stoch_d_period"": 4, ""stoch_k_period"": 17, ""stoch_threshold"": 46, ""atr_stoploss_multiplier"": 2.531, ""stoch_overbought"": 85, ""stoch_oversold"": 24}, ""minimal_roi"": {""0"": 0.486, ""334"": 0.22, ""880"": 0.066, ""1518"": 0}, ""stoploss"": -0.202, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20240724-20241022,20241022-20241121,1.07,"{""params"": {""adx_period"": 17, ""adx_threshold"": 30, ""atr_period"": 17, ""bb_period"": 20, ""bb_std"": 1.816, ""macd_fast"": 11, ""macd_signal"": 12, ""macd_slow"": 30, ""stoch_d_period"": 5, ""stoch_k_period"": 19, ""stoch_threshold"": 49, ""atr_stoploss_multiplier"": 1.988, ""stoch_overbought"": 81, ""stoch_oversold"": 19}, ""minimal_roi"": {""0"": 0.324, ""237"": 0.093, ""405"": 0.038, ""886"": 0}, ""stoploss"": -0.283, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
