train_range,test_range,test_total_profit_pct,best_params
20220622-20220920,20220920-20221020,0.98,"{""params"": {""adx_period"": 14, ""adx_regime_threshold"": 31, ""atr_period"": 20, ""bb_period"": 22, ""bb_std"": 1.609, ""rsi_overbought"": 61, ""rsi_oversold"": 29, ""rsi_period"": 12, ""xrp_adx_period"": 20, ""xrp_adx_regime_threshold"": 34, ""xrp_atr_period"": 13, ""xrp_bb_period"": 22, ""xrp_bb_std"": 1.304, ""xrp_rsi_overbought"": 63, ""xrp_rsi_oversold"": 27, ""xrp_rsi_period"": 15, ""atr_stoploss_multiplier"": 2.962, ""rsi_exit"": 57, ""rsi_exit_short"": 35, ""xrp_atr_stoploss_multiplier"": 1.803, ""xrp_rsi_exit"": 69, ""xrp_rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.508, ""257"": 0.147, ""807"": 0.062, ""1549"": 0}, ""stoploss"": -0.312, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220722-20221020,20221020-20221119,1.31,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 33, ""atr_period"": 19, ""bb_period"": 20, ""bb_std"": 2.292, ""rsi_overbought"": 66, ""rsi_oversold"": 37, ""rsi_period"": 17, ""xrp_adx_period"": 18, ""xrp_adx_regime_threshold"": 23, ""xrp_atr_period"": 14, ""xrp_bb_period"": 18, ""xrp_bb_std"": 1.791, ""xrp_rsi_overbought"": 63, ""xrp_rsi_oversold"": 41, ""xrp_rsi_period"": 14, ""atr_stoploss_multiplier"": 1.645, ""rsi_exit"": 61, ""rsi_exit_short"": 44, ""xrp_atr_stoploss_multiplier"": 1.394, ""xrp_rsi_exit"": 70, ""xrp_rsi_exit_short"": 35}, ""minimal_roi"": {""0"": 0.469, ""374"": 0.185, ""920"": 0.054, ""1900"": 0}, ""stoploss"": -0.083, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220821-20221119,20221119-20221219,1.45,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 35, ""atr_period"": 15, ""bb_period"": 23, ""bb_std"": 2.7, ""rsi_overbought"": 55, ""rsi_oversold"": 41, ""rsi_period"": 10, ""xrp_adx_period"": 14, ""xrp_adx_regime_threshold"": 19, ""xrp_atr_period"": 19, ""xrp_bb_period"": 16, ""xrp_bb_std"": 2.556, ""xrp_rsi_overbought"": 59, ""xrp_rsi_oversold"": 44, ""xrp_rsi_period"": 11, ""atr_stoploss_multiplier"": 2.426, ""rsi_exit"": 70, ""rsi_exit_short"": 44, ""xrp_atr_stoploss_multiplier"": 1.31, ""xrp_rsi_exit"": 63, ""xrp_rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.28, ""211"": 0.11, ""765"": 0.034, ""1580"": 0}, ""stoploss"": -0.333, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220920-20221219,20221219-20230118,5.0,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 34, ""atr_period"": 18, ""bb_period"": 15, ""bb_std"": 2.578, ""rsi_overbought"": 59, ""rsi_oversold"": 39, ""rsi_period"": 13, ""xrp_adx_period"": 18, ""xrp_adx_regime_threshold"": 32, ""xrp_atr_period"": 13, ""xrp_bb_period"": 15, ""xrp_bb_std"": 2.507, ""xrp_rsi_overbought"": 59, ""xrp_rsi_oversold"": 45, ""xrp_rsi_period"": 14, ""atr_stoploss_multiplier"": 2.866, ""rsi_exit"": 69, ""rsi_exit_short"": 32, ""xrp_atr_stoploss_multiplier"": 1.296, ""xrp_rsi_exit"": 68, ""xrp_rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.266, ""322"": 0.114, ""719"": 0.038, ""1731"": 0}, ""stoploss"": -0.093, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20221020-20230118,20230118-20230217,2.29,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 29, ""atr_period"": 10, ""bb_period"": 23, ""bb_std"": 2.52, ""rsi_overbought"": 59, ""rsi_oversold"": 37, ""rsi_period"": 17, ""xrp_adx_period"": 13, ""xrp_adx_regime_threshold"": 26, ""xrp_atr_period"": 10, ""xrp_bb_period"": 20, ""xrp_bb_std"": 2.407, ""xrp_rsi_overbought"": 63, ""xrp_rsi_oversold"": 45, ""xrp_rsi_period"": 18, ""atr_stoploss_multiplier"": 2.229, ""rsi_exit"": 66, ""rsi_exit_short"": 34, ""xrp_atr_stoploss_multiplier"": 1.649, ""xrp_rsi_exit"": 63, ""xrp_rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.666, ""478"": 0.223, ""598"": 0.087, ""1116"": 0}, ""stoploss"": -0.149, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20221119-20230217,20230217-20230319,1.04,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 22, ""atr_period"": 20, ""bb_period"": 17, ""bb_std"": 1.455, ""rsi_overbought"": 66, ""rsi_oversold"": 38, ""rsi_period"": 14, ""xrp_adx_period"": 16, ""xrp_adx_regime_threshold"": 25, ""xrp_atr_period"": 15, ""xrp_bb_period"": 16, ""xrp_bb_std"": 1.416, ""xrp_rsi_overbought"": 64, ""xrp_rsi_oversold"": 38, ""xrp_rsi_period"": 12, ""atr_stoploss_multiplier"": 1.377, ""rsi_exit"": 58, ""rsi_exit_short"": 44, ""xrp_atr_stoploss_multiplier"": 2.176, ""xrp_rsi_exit"": 60, ""xrp_rsi_exit_short"": 43}, ""minimal_roi"": {""0"": 0.297, ""219"": 0.095, ""882"": 0.054, ""2233"": 0}, ""stoploss"": -0.291, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20221219-20230319,20230319-20230418,1.82,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 22, ""atr_period"": 17, ""bb_period"": 19, ""bb_std"": 2.183, ""rsi_overbought"": 62, ""rsi_oversold"": 39, ""rsi_period"": 15, ""xrp_adx_period"": 18, ""xrp_adx_regime_threshold"": 21, ""xrp_atr_period"": 11, ""xrp_bb_period"": 22, ""xrp_bb_std"": 2.788, ""xrp_rsi_overbought"": 56, ""xrp_rsi_oversold"": 31, ""xrp_rsi_period"": 15, ""atr_stoploss_multiplier"": 1.811, ""rsi_exit"": 65, ""rsi_exit_short"": 41, ""xrp_atr_stoploss_multiplier"": 1.248, ""xrp_rsi_exit"": 62, ""xrp_rsi_exit_short"": 37}, ""minimal_roi"": {""0"": 0.517, ""307"": 0.195, ""756"": 0.063, ""1090"": 0}, ""stoploss"": -0.059, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230118-20230418,20230418-20230518,4.55,"{""params"": {""adx_period"": 14, ""adx_regime_threshold"": 29, ""atr_period"": 12, ""bb_period"": 17, ""bb_std"": 1.996, ""rsi_overbought"": 59, ""rsi_oversold"": 25, ""rsi_period"": 18, ""xrp_adx_period"": 13, ""xrp_adx_regime_threshold"": 26, ""xrp_atr_period"": 11, ""xrp_bb_period"": 25, ""xrp_bb_std"": 2.725, ""xrp_rsi_overbought"": 73, ""xrp_rsi_oversold"": 29, ""xrp_rsi_period"": 20, ""atr_stoploss_multiplier"": 1.79, ""rsi_exit"": 56, ""rsi_exit_short"": 44, ""xrp_atr_stoploss_multiplier"": 1.72, ""xrp_rsi_exit"": 68, ""xrp_rsi_exit_short"": 39}, ""minimal_roi"": {""0"": 0.472, ""396"": 0.236, ""582"": 0.09, ""1901"": 0}, ""stoploss"": -0.336, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230217-20230518,20230518-20230617,0.94,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 34, ""atr_period"": 20, ""bb_period"": 18, ""bb_std"": 1.869, ""rsi_overbought"": 61, ""rsi_oversold"": 26, ""rsi_period"": 19, ""xrp_adx_period"": 18, ""xrp_adx_regime_threshold"": 22, ""xrp_atr_period"": 14, ""xrp_bb_period"": 16, ""xrp_bb_std"": 1.927, ""xrp_rsi_overbought"": 74, ""xrp_rsi_oversold"": 38, ""xrp_rsi_period"": 16, ""atr_stoploss_multiplier"": 1.82, ""rsi_exit"": 60, ""rsi_exit_short"": 45, ""xrp_atr_stoploss_multiplier"": 1.99, ""xrp_rsi_exit"": 57, ""xrp_rsi_exit_short"": 39}, ""minimal_roi"": {""0"": 0.568, ""296"": 0.163, ""757"": 0.06, ""2014"": 0}, ""stoploss"": -0.291, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230319-20230617,20230617-20230717,0.24,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 25, ""atr_period"": 10, ""bb_period"": 21, ""bb_std"": 2.817, ""rsi_overbought"": 69, ""rsi_oversold"": 41, ""rsi_period"": 13, ""xrp_adx_period"": 19, ""xrp_adx_regime_threshold"": 18, ""xrp_atr_period"": 11, ""xrp_bb_period"": 17, ""xrp_bb_std"": 1.698, ""xrp_rsi_overbought"": 62, ""xrp_rsi_oversold"": 39, ""xrp_rsi_period"": 10, ""atr_stoploss_multiplier"": 2.279, ""rsi_exit"": 70, ""rsi_exit_short"": 43, ""xrp_atr_stoploss_multiplier"": 2.968, ""xrp_rsi_exit"": 61, ""xrp_rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.401, ""156"": 0.114, ""867"": 0.033, ""1129"": 0}, ""stoploss"": -0.338, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230418-20230717,20230717-20230816,,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 22, ""atr_period"": 15, ""bb_period"": 17, ""bb_std"": 2.149, ""rsi_overbought"": 68, ""rsi_oversold"": 28, ""rsi_period"": 11, ""xrp_adx_period"": 19, ""xrp_adx_regime_threshold"": 19, ""xrp_atr_period"": 19, ""xrp_bb_period"": 16, ""xrp_bb_std"": 2.835, ""xrp_rsi_overbought"": 67, ""xrp_rsi_oversold"": 37, ""xrp_rsi_period"": 18, ""atr_stoploss_multiplier"": 2.042, ""rsi_exit"": 65, ""rsi_exit_short"": 43, ""xrp_atr_stoploss_multiplier"": 2.622, ""xrp_rsi_exit"": 66, ""xrp_rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.563, ""262"": 0.219, ""733"": 0.063, ""933"": 0}, ""stoploss"": -0.304, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
