train_range,test_range,test_total_profit_pct,best_params
20231028-20240126,20240126-20240225,16.68,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 28, ""atr_period"": 14, ""bb_period"": 23, ""bb_std"": 2.501, ""rsi_overbought"": 68, ""rsi_oversold"": 26, ""rsi_period"": 16, ""atr_stoploss_multiplier"": 2.28, ""rsi_exit"": 68, ""rsi_exit_short"": 42}, ""minimal_roi"": {""0"": 0.402, ""208"": 0.069, ""869"": 0.035, ""1566"": 0}, ""stoploss"": -0.292, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20231127-20240225,20240225-20240326,4.77,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 21, ""atr_period"": 11, ""bb_period"": 23, ""bb_std"": 2.718, ""rsi_overbought"": 75, ""rsi_oversold"": 28, ""rsi_period"": 13, ""atr_stoploss_multiplier"": 1.354, ""rsi_exit"": 59, ""rsi_exit_short"": 40}, ""minimal_roi"": {""0"": 0.316, ""332"": 0.131, ""973"": 0.034, ""2057"": 0}, ""stoploss"": -0.184, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20231227-20240326,20240326-20240425,5.64,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 33, ""atr_period"": 18, ""bb_period"": 18, ""bb_std"": 2.394, ""rsi_overbought"": 70, ""rsi_oversold"": 28, ""rsi_period"": 13, ""atr_stoploss_multiplier"": 1.379, ""rsi_exit"": 65, ""rsi_exit_short"": 43}, ""minimal_roi"": {""0"": 0.316, ""173"": 0.103, ""658"": 0.072, ""1058"": 0}, ""stoploss"": -0.348, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240126-20240425,20240425-20240525,12.56,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 35, ""atr_period"": 18, ""bb_period"": 21, ""bb_std"": 2.223, ""rsi_overbought"": 75, ""rsi_oversold"": 36, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 2.277, ""rsi_exit"": 61, ""rsi_exit_short"": 43}, ""minimal_roi"": {""0"": 0.46, ""311"": 0.165, ""554"": 0.055, ""835"": 0}, ""stoploss"": -0.192, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240225-20240525,20240525-20240624,4.79,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 18, ""atr_period"": 10, ""bb_period"": 24, ""bb_std"": 2.166, ""rsi_overbought"": 70, ""rsi_oversold"": 27, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.751, ""rsi_exit"": 69, ""rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.369, ""297"": 0.151, ""651"": 0.025, ""1613"": 0}, ""stoploss"": -0.277, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240326-20240624,20240624-20240724,5.75,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 20, ""atr_period"": 14, ""bb_period"": 18, ""bb_std"": 2.847, ""rsi_overbought"": 69, ""rsi_oversold"": 30, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 1.749, ""rsi_exit"": 63, ""rsi_exit_short"": 35}, ""minimal_roi"": {""0"": 0.486, ""250"": 0.079, ""893"": 0.041, ""2214"": 0}, ""stoploss"": -0.103, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240425-20240724,20240724-20240823,5.31,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 29, ""atr_period"": 20, ""bb_period"": 18, ""bb_std"": 2.972, ""rsi_overbought"": 74, ""rsi_oversold"": 25, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 2.129, ""rsi_exit"": 69, ""rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.229, ""397"": 0.129, ""1110"": 0.042, ""1322"": 0}, ""stoploss"": -0.087, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240525-20240823,20240823-20240922,2.36,"{""params"": {""adx_period"": 14, ""adx_regime_threshold"": 32, ""atr_period"": 11, ""bb_period"": 20, ""bb_std"": 2.225, ""rsi_overbought"": 75, ""rsi_oversold"": 26, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.009, ""rsi_exit"": 69, ""rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.309, ""211"": 0.096, ""582"": 0.056, ""1885"": 0}, ""stoploss"": -0.115, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240624-20240922,20240922-20241022,7.43,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 21, ""atr_period"": 16, ""bb_period"": 24, ""bb_std"": 2.437, ""rsi_overbought"": 75, ""rsi_oversold"": 29, ""rsi_period"": 14, ""atr_stoploss_multiplier"": 1.329, ""rsi_exit"": 67, ""rsi_exit_short"": 34}, ""minimal_roi"": {""0"": 0.561, ""449"": 0.202, ""803"": 0.045, ""1606"": 0}, ""stoploss"": -0.157, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240724-20241022,20241022-20241121,10.48,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 22, ""atr_period"": 16, ""bb_period"": 20, ""bb_std"": 1.837, ""rsi_overbought"": 64, ""rsi_oversold"": 25, ""rsi_period"": 15, ""atr_stoploss_multiplier"": 2.994, ""rsi_exit"": 59, ""rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.316, ""360"": 0.068, ""799"": 0.031, ""2025"": 0}, ""stoploss"": -0.212, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240823-20241121,20241121-20241221,6.99,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 23, ""atr_period"": 19, ""bb_period"": 21, ""bb_std"": 1.948, ""rsi_overbought"": 63, ""rsi_oversold"": 28, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.848, ""rsi_exit"": 55, ""rsi_exit_short"": 40}, ""minimal_roi"": {""0"": 0.174, ""405"": 0.096, ""641"": 0.042, ""982"": 0}, ""stoploss"": -0.277, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
