train_range,test_range,test_total_profit_pct,best_params
20231028-20240126,20240126-20240225,5.38,"{""params"": {""adx_period"": 11, ""adx_threshold"": 20, ""atr_period"": 11, ""bb_period"": 21, ""bb_std"": 1.955, ""macd_fast"": 15, ""macd_signal"": 9, ""macd_slow"": 20, ""stoch_d_period"": 3, ""stoch_k_period"": 15, ""stoch_threshold"": 52, ""atr_stoploss_multiplier"": 2.639, ""stoch_overbought"": 90, ""stoch_oversold"": 14}, ""minimal_roi"": {""0"": 0.274, ""169"": 0.101, ""814"": 0.027, ""1954"": 0}, ""stoploss"": -0.298, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20231127-20240225,20240225-20240326,1.37,"{""params"": {""adx_period"": 16, ""adx_threshold"": 20, ""atr_period"": 10, ""bb_period"": 20, ""bb_std"": 2.306, ""macd_fast"": 15, ""macd_signal"": 12, ""macd_slow"": 28, ""stoch_d_period"": 4, ""stoch_k_period"": 13, ""stoch_threshold"": 48, ""atr_stoploss_multiplier"": 3.638, ""stoch_overbought"": 81, ""stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.242, ""400"": 0.191, ""1104"": 0.075, ""1785"": 0}, ""stoploss"": -0.198, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20231227-20240326,20240326-20240425,1.68,"{""params"": {""adx_period"": 10, ""adx_threshold"": 20, ""atr_period"": 18, ""bb_period"": 25, ""bb_std"": 2.226, ""macd_fast"": 11, ""macd_signal"": 10, ""macd_slow"": 21, ""stoch_d_period"": 3, ""stoch_k_period"": 10, ""stoch_threshold"": 48, ""atr_stoploss_multiplier"": 3.245, ""stoch_overbought"": 85, ""stoch_oversold"": 16}, ""minimal_roi"": {""0"": 0.57, ""337"": 0.148, ""591"": 0.027, ""1271"": 0}, ""stoploss"": -0.128, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240126-20240425,20240425-20240525,2.7,"{""params"": {""adx_period"": 17, ""adx_threshold"": 27, ""atr_period"": 19, ""bb_period"": 17, ""bb_std"": 1.665, ""macd_fast"": 11, ""macd_signal"": 8, ""macd_slow"": 29, ""stoch_d_period"": 6, ""stoch_k_period"": 10, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 3.6, ""stoch_overbought"": 89, ""stoch_oversold"": 14}, ""minimal_roi"": {""0"": 0.326, ""163"": 0.167, ""577"": 0.056, ""1870"": 0}, ""stoploss"": -0.145, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240225-20240525,20240525-20240624,3.24,"{""params"": {""adx_period"": 11, ""adx_threshold"": 25, ""atr_period"": 13, ""bb_period"": 17, ""bb_std"": 1.865, ""macd_fast"": 11, ""macd_signal"": 10, ""macd_slow"": 20, ""stoch_d_period"": 6, ""stoch_k_period"": 10, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 3.304, ""stoch_overbought"": 82, ""stoch_oversold"": 21}, ""minimal_roi"": {""0"": 0.148, ""128"": 0.065, ""585"": 0.037, ""1172"": 0}, ""stoploss"": -0.283, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240326-20240624,20240624-20240724,0.52,"{""params"": {""adx_period"": 10, ""adx_threshold"": 27, ""atr_period"": 17, ""bb_period"": 18, ""bb_std"": 2.321, ""macd_fast"": 16, ""macd_signal"": 9, ""macd_slow"": 29, ""stoch_d_period"": 6, ""stoch_k_period"": 10, ""stoch_threshold"": 52, ""atr_stoploss_multiplier"": 2.434, ""stoch_overbought"": 84, ""stoch_oversold"": 10}, ""minimal_roi"": {""0"": 0.202, ""328"": 0.092, ""761"": 0.03, ""2062"": 0}, ""stoploss"": -0.07, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240425-20240724,20240724-20240823,4.05,"{""params"": {""adx_period"": 10, ""adx_threshold"": 21, ""atr_period"": 12, ""bb_period"": 23, ""bb_std"": 1.95, ""macd_fast"": 12, ""macd_signal"": 12, ""macd_slow"": 20, ""stoch_d_period"": 5, ""stoch_k_period"": 17, ""stoch_threshold"": 52, ""atr_stoploss_multiplier"": 2.941, ""stoch_overbought"": 89, ""stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.569, ""330"": 0.162, ""473"": 0.053, ""1201"": 0}, ""stoploss"": -0.326, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240525-20240823,20240823-20240922,5.11,"{""params"": {""adx_period"": 16, ""adx_threshold"": 20, ""atr_period"": 12, ""bb_period"": 18, ""bb_std"": 1.559, ""macd_fast"": 14, ""macd_signal"": 12, ""macd_slow"": 27, ""stoch_d_period"": 6, ""stoch_k_period"": 10, ""stoch_threshold"": 50, ""atr_stoploss_multiplier"": 2.224, ""stoch_overbought"": 89, ""stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.242, ""246"": 0.181, ""764"": 0.087, ""1729"": 0}, ""stoploss"": -0.167, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240624-20240922,20240922-20241022,3.14,"{""params"": {""adx_period"": 18, ""adx_threshold"": 20, ""atr_period"": 11, ""bb_period"": 21, ""bb_std"": 2.412, ""macd_fast"": 14, ""macd_signal"": 7, ""macd_slow"": 21, ""stoch_d_period"": 4, ""stoch_k_period"": 16, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 2.11, ""stoch_overbought"": 81, ""stoch_oversold"": 16}, ""minimal_roi"": {""0"": 0.344, ""257"": 0.109, ""465"": 0.059, ""1283"": 0}, ""stoploss"": -0.308, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240724-20241022,20241022-20241121,1.89,"{""params"": {""adx_period"": 20, ""adx_threshold"": 25, ""atr_period"": 19, ""bb_period"": 25, ""bb_std"": 2.225, ""macd_fast"": 15, ""macd_signal"": 8, ""macd_slow"": 29, ""stoch_d_period"": 3, ""stoch_k_period"": 12, ""stoch_threshold"": 54, ""atr_stoploss_multiplier"": 3.653, ""stoch_overbought"": 80, ""stoch_oversold"": 24}, ""minimal_roi"": {""0"": 0.689, ""293"": 0.232, ""722"": 0.084, ""855"": 0}, ""stoploss"": -0.07, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240823-20241121,20241121-20241221,1.0,"{""params"": {""adx_period"": 12, ""adx_threshold"": 21, ""atr_period"": 19, ""bb_period"": 21, ""bb_std"": 1.705, ""macd_fast"": 15, ""macd_signal"": 12, ""macd_slow"": 26, ""stoch_d_period"": 5, ""stoch_k_period"": 19, ""stoch_threshold"": 46, ""atr_stoploss_multiplier"": 2.051, ""stoch_overbought"": 90, ""stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.261, ""301"": 0.123, ""804"": 0.051, ""1504"": 0}, ""stoploss"": -0.135, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
