train_range,test_range,test_total_profit_pct,best_params
20231028-20240126,20240126-20240225,1.86,"{""params"": {""adx_period"": 19, ""adx_threshold"": 30, ""atr_period"": 15, ""bb_period"": 19, ""bb_std"": 2.456, ""macd_fast"": 14, ""macd_signal"": 7, ""macd_slow"": 21, ""stoch_d_period"": 5, ""stoch_k_period"": 13, ""stoch_threshold"": 54, ""atr_stoploss_multiplier"": 3.451, ""stoch_overbought"": 85, ""stoch_oversold"": 13}, ""minimal_roi"": {""0"": 0.109, ""311"": 0.081, ""976"": 0.047, ""1205"": 0}, ""stoploss"": -0.173, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20231127-20240225,20240225-20240326,3.68,"{""params"": {""adx_period"": 16, ""adx_threshold"": 24, ""atr_period"": 19, ""bb_period"": 22, ""bb_std"": 2.273, ""macd_fast"": 11, ""macd_signal"": 8, ""macd_slow"": 29, ""stoch_d_period"": 4, ""stoch_k_period"": 11, ""stoch_threshold"": 45, ""atr_stoploss_multiplier"": 3.657, ""stoch_overbought"": 75, ""stoch_oversold"": 12}, ""minimal_roi"": {""0"": 0.413, ""419"": 0.205, ""1031"": 0.069, ""1898"": 0}, ""stoploss"": -0.266, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20231227-20240326,20240326-20240425,5.21,"{""params"": {""adx_period"": 19, ""adx_threshold"": 20, ""atr_period"": 14, ""bb_period"": 20, ""bb_std"": 1.728, ""macd_fast"": 10, ""macd_signal"": 7, ""macd_slow"": 27, ""stoch_d_period"": 6, ""stoch_k_period"": 18, ""stoch_threshold"": 51, ""atr_stoploss_multiplier"": 2.729, ""stoch_overbought"": 90, ""stoch_oversold"": 15}, ""minimal_roi"": {""0"": 0.304, ""374"": 0.128, ""730"": 0.034, ""2101"": 0}, ""stoploss"": -0.247, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240126-20240425,20240425-20240525,0.18,"{""params"": {""adx_period"": 16, ""adx_threshold"": 22, ""atr_period"": 17, ""bb_period"": 22, ""bb_std"": 1.55, ""macd_fast"": 8, ""macd_signal"": 7, ""macd_slow"": 27, ""stoch_d_period"": 6, ""stoch_k_period"": 18, ""stoch_threshold"": 54, ""atr_stoploss_multiplier"": 3.147, ""stoch_overbought"": 80, ""stoch_oversold"": 16}, ""minimal_roi"": {""0"": 0.38, ""474"": 0.173, ""898"": 0.033, ""1435"": 0}, ""stoploss"": -0.031, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240225-20240525,20240525-20240624,0.93,"{""params"": {""adx_period"": 16, ""adx_threshold"": 20, ""atr_period"": 10, ""bb_period"": 18, ""bb_std"": 1.766, ""macd_fast"": 11, ""macd_signal"": 9, ""macd_slow"": 22, ""stoch_d_period"": 6, ""stoch_k_period"": 20, ""stoch_threshold"": 53, ""atr_stoploss_multiplier"": 1.564, ""stoch_overbought"": 86, ""stoch_oversold"": 13}, ""minimal_roi"": {""0"": 0.182, ""172"": 0.142, ""872"": 0.032, ""1501"": 0}, ""stoploss"": -0.139, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240326-20240624,20240624-20240724,0.26,"{""params"": {""adx_period"": 12, ""adx_threshold"": 20, ""atr_period"": 17, ""bb_period"": 25, ""bb_std"": 2.265, ""macd_fast"": 13, ""macd_signal"": 10, ""macd_slow"": 30, ""stoch_d_period"": 6, ""stoch_k_period"": 16, ""stoch_threshold"": 55, ""atr_stoploss_multiplier"": 2.411, ""stoch_overbought"": 88, ""stoch_oversold"": 17}, ""minimal_roi"": {""0"": 0.348, ""128"": 0.094, ""698"": 0.054, ""998"": 0}, ""stoploss"": -0.25, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240425-20240724,20240724-20240823,5.71,"{""params"": {""adx_period"": 15, ""adx_threshold"": 22, ""atr_period"": 10, ""bb_period"": 18, ""bb_std"": 1.636, ""macd_fast"": 13, ""macd_signal"": 8, ""macd_slow"": 22, ""stoch_d_period"": 6, ""stoch_k_period"": 15, ""stoch_threshold"": 52, ""atr_stoploss_multiplier"": 3.823, ""stoch_overbought"": 78, ""stoch_oversold"": 13}, ""minimal_roi"": {""0"": 0.217, ""443"": 0.063, ""967"": 0.024, ""1890"": 0}, ""stoploss"": -0.281, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240525-20240823,20240823-20240922,9.07,"{""params"": {""adx_period"": 18, ""adx_threshold"": 20, ""atr_period"": 15, ""bb_period"": 23, ""bb_std"": 2.357, ""macd_fast"": 16, ""macd_signal"": 7, ""macd_slow"": 30, ""stoch_d_period"": 4, ""stoch_k_period"": 15, ""stoch_threshold"": 55, ""atr_stoploss_multiplier"": 2.443, ""stoch_overbought"": 78, ""stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.182, ""375"": 0.119, ""677"": 0.054, ""1147"": 0}, ""stoploss"": -0.18, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240624-20240922,20240922-20241022,5.38,"{""params"": {""adx_period"": 13, ""adx_threshold"": 21, ""atr_period"": 19, ""bb_period"": 18, ""bb_std"": 2.061, ""macd_fast"": 11, ""macd_signal"": 7, ""macd_slow"": 21, ""stoch_d_period"": 6, ""stoch_k_period"": 11, ""stoch_threshold"": 45, ""atr_stoploss_multiplier"": 3.779, ""stoch_overbought"": 75, ""stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.501, ""374"": 0.196, ""1065"": 0.046, ""2342"": 0}, ""stoploss"": -0.181, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240724-20241022,20241022-20241121,0.22,"{""params"": {""adx_period"": 14, ""adx_threshold"": 27, ""atr_period"": 18, ""bb_period"": 16, ""bb_std"": 1.912, ""macd_fast"": 15, ""macd_signal"": 9, ""macd_slow"": 20, ""stoch_d_period"": 4, ""stoch_k_period"": 19, ""stoch_threshold"": 53, ""atr_stoploss_multiplier"": 3.09, ""stoch_overbought"": 80, ""stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.352, ""409"": 0.133, ""561"": 0.087, ""1695"": 0}, ""stoploss"": -0.064, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20240823-20241121,20241121-20241221,13.15,"{""params"": {""adx_period"": 10, ""adx_threshold"": 21, ""atr_period"": 19, ""bb_period"": 18, ""bb_std"": 1.76, ""macd_fast"": 11, ""macd_signal"": 9, ""macd_slow"": 22, ""stoch_d_period"": 3, ""stoch_k_period"": 16, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 2.961, ""stoch_overbought"": 90, ""stoch_oversold"": 10}, ""minimal_roi"": {""0"": 0.318, ""385"": 0.153, ""917"": 0.063, ""1960"": 0}, ""stoploss"": -0.124, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
