train_range,test_range,test_total_profit_pct,best_params
20220622-20220920,20220920-20221020,6.92,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 35, ""atr_period"": 16, ""bb_period"": 24, ""bb_std"": 1.686, ""rsi_overbought"": 60, ""rsi_oversold"": 44, ""rsi_period"": 15, ""xrp_adx_period"": 13, ""xrp_adx_regime_threshold"": 24, ""xrp_atr_period"": 17, ""xrp_bb_period"": 17, ""xrp_bb_std"": 1.84, ""xrp_rsi_overbought"": 58, ""xrp_rsi_oversold"": 29, ""xrp_rsi_period"": 10, ""atr_stoploss_multiplier"": 1.943, ""rsi_exit"": 60, ""rsi_exit_short"": 43, ""xrp_atr_stoploss_multiplier"": 2.791, ""xrp_rsi_exit"": 61, ""xrp_rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.669, ""247"": 0.239, ""781"": 0.092, ""1244"": 0}, ""stoploss"": -0.345, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220722-20221020,20221020-20221119,5.86,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 23, ""atr_period"": 13, ""bb_period"": 17, ""bb_std"": 1.334, ""rsi_overbought"": 72, ""rsi_oversold"": 28, ""rsi_period"": 15, ""xrp_adx_period"": 13, ""xrp_adx_regime_threshold"": 25, ""xrp_atr_period"": 12, ""xrp_bb_period"": 15, ""xrp_bb_std"": 2.222, ""xrp_rsi_overbought"": 56, ""xrp_rsi_oversold"": 41, ""xrp_rsi_period"": 20, ""atr_stoploss_multiplier"": 2.3, ""rsi_exit"": 61, ""rsi_exit_short"": 31, ""xrp_atr_stoploss_multiplier"": 2.328, ""xrp_rsi_exit"": 57, ""xrp_rsi_exit_short"": 41}, ""minimal_roi"": {""0"": 0.555, ""167"": 0.181, ""772"": 0.032, ""2123"": 0}, ""stoploss"": -0.272, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220821-20221119,20221119-20221219,19.14,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 32, ""atr_period"": 17, ""bb_period"": 21, ""bb_std"": 1.253, ""rsi_overbought"": 59, ""rsi_oversold"": 25, ""rsi_period"": 12, ""xrp_adx_period"": 10, ""xrp_adx_regime_threshold"": 27, ""xrp_atr_period"": 11, ""xrp_bb_period"": 18, ""xrp_bb_std"": 1.72, ""xrp_rsi_overbought"": 70, ""xrp_rsi_oversold"": 26, ""xrp_rsi_period"": 17, ""atr_stoploss_multiplier"": 2.99, ""rsi_exit"": 69, ""rsi_exit_short"": 32, ""xrp_atr_stoploss_multiplier"": 2.303, ""xrp_rsi_exit"": 66, ""xrp_rsi_exit_short"": 31}, ""minimal_roi"": {""0"": 0.519, ""422"": 0.111, ""723"": 0.029, ""1622"": 0}, ""stoploss"": -0.295, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220920-20221219,20221219-20230118,0.79,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 28, ""atr_period"": 18, ""bb_period"": 25, ""bb_std"": 2.573, ""rsi_overbought"": 75, ""rsi_oversold"": 27, ""rsi_period"": 18, ""xrp_adx_period"": 10, ""xrp_adx_regime_threshold"": 30, ""xrp_atr_period"": 16, ""xrp_bb_period"": 22, ""xrp_bb_std"": 2.214, ""xrp_rsi_overbought"": 65, ""xrp_rsi_oversold"": 45, ""xrp_rsi_period"": 11, ""atr_stoploss_multiplier"": 2.408, ""rsi_exit"": 58, ""rsi_exit_short"": 42, ""xrp_atr_stoploss_multiplier"": 1.322, ""xrp_rsi_exit"": 63, ""xrp_rsi_exit_short"": 45}, ""minimal_roi"": {""0"": 0.275, ""249"": 0.161, ""378"": 0.075, ""1665"": 0}, ""stoploss"": -0.196, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20221020-20230118,20230118-20230217,1.05,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 21, ""atr_period"": 19, ""bb_period"": 16, ""bb_std"": 2.936, ""rsi_overbought"": 65, ""rsi_oversold"": 30, ""rsi_period"": 16, ""xrp_adx_period"": 20, ""xrp_adx_regime_threshold"": 24, ""xrp_atr_period"": 16, ""xrp_bb_period"": 24, ""xrp_bb_std"": 1.983, ""xrp_rsi_overbought"": 70, ""xrp_rsi_oversold"": 33, ""xrp_rsi_period"": 15, ""atr_stoploss_multiplier"": 2.411, ""rsi_exit"": 55, ""rsi_exit_short"": 40, ""xrp_atr_stoploss_multiplier"": 2.306, ""xrp_rsi_exit"": 67, ""xrp_rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.443, ""252"": 0.174, ""728"": 0.047, ""1623"": 0}, ""stoploss"": -0.18, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20221119-20230217,20230217-20230319,8.53,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 32, ""atr_period"": 18, ""bb_period"": 22, ""bb_std"": 2.249, ""rsi_overbought"": 56, ""rsi_oversold"": 37, ""rsi_period"": 15, ""xrp_adx_period"": 20, ""xrp_adx_regime_threshold"": 27, ""xrp_atr_period"": 20, ""xrp_bb_period"": 20, ""xrp_bb_std"": 1.726, ""xrp_rsi_overbought"": 74, ""xrp_rsi_oversold"": 38, ""xrp_rsi_period"": 12, ""atr_stoploss_multiplier"": 1.388, ""rsi_exit"": 66, ""rsi_exit_short"": 39, ""xrp_atr_stoploss_multiplier"": 1.9, ""xrp_rsi_exit"": 64, ""xrp_rsi_exit_short"": 37}, ""minimal_roi"": {""0"": 0.156, ""369"": 0.122, ""586"": 0.036, ""1735"": 0}, ""stoploss"": -0.273, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20221219-20230319,20230319-20230418,3.2,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 35, ""atr_period"": 15, ""bb_period"": 23, ""bb_std"": 1.404, ""rsi_overbought"": 65, ""rsi_oversold"": 39, ""rsi_period"": 10, ""xrp_adx_period"": 16, ""xrp_adx_regime_threshold"": 18, ""xrp_atr_period"": 15, ""xrp_bb_period"": 21, ""xrp_bb_std"": 2.271, ""xrp_rsi_overbought"": 67, ""xrp_rsi_oversold"": 42, ""xrp_rsi_period"": 15, ""atr_stoploss_multiplier"": 2.413, ""rsi_exit"": 56, ""rsi_exit_short"": 45, ""xrp_atr_stoploss_multiplier"": 2.384, ""xrp_rsi_exit"": 69, ""xrp_rsi_exit_short"": 41}, ""minimal_roi"": {""0"": 0.294, ""337"": 0.103, ""965"": 0.055, ""1251"": 0}, ""stoploss"": -0.212, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230118-20230418,20230418-20230518,0.7,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 27, ""atr_period"": 12, ""bb_period"": 21, ""bb_std"": 2.485, ""rsi_overbought"": 69, ""rsi_oversold"": 32, ""rsi_period"": 16, ""xrp_adx_period"": 11, ""xrp_adx_regime_threshold"": 22, ""xrp_atr_period"": 14, ""xrp_bb_period"": 20, ""xrp_bb_std"": 2.435, ""xrp_rsi_overbought"": 69, ""xrp_rsi_oversold"": 27, ""xrp_rsi_period"": 19, ""atr_stoploss_multiplier"": 2.569, ""rsi_exit"": 70, ""rsi_exit_short"": 35, ""xrp_atr_stoploss_multiplier"": 1.303, ""xrp_rsi_exit"": 60, ""xrp_rsi_exit_short"": 45}, ""minimal_roi"": {""0"": 0.363, ""246"": 0.169, ""832"": 0.024, ""1356"": 0}, ""stoploss"": -0.127, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230217-20230518,20230518-20230617,7.63,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 34, ""atr_period"": 19, ""bb_period"": 15, ""bb_std"": 1.439, ""rsi_overbought"": 63, ""rsi_oversold"": 38, ""rsi_period"": 18, ""xrp_adx_period"": 17, ""xrp_adx_regime_threshold"": 28, ""xrp_atr_period"": 17, ""xrp_bb_period"": 15, ""xrp_bb_std"": 1.654, ""xrp_rsi_overbought"": 70, ""xrp_rsi_oversold"": 33, ""xrp_rsi_period"": 17, ""atr_stoploss_multiplier"": 1.311, ""rsi_exit"": 68, ""rsi_exit_short"": 33, ""xrp_atr_stoploss_multiplier"": 2.564, ""xrp_rsi_exit"": 62, ""xrp_rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.347, ""268"": 0.143, ""979"": 0.05, ""1963"": 0}, ""stoploss"": -0.025, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230319-20230617,20230617-20230717,2.13,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 28, ""atr_period"": 20, ""bb_period"": 24, ""bb_std"": 1.527, ""rsi_overbought"": 65, ""rsi_oversold"": 30, ""rsi_period"": 11, ""xrp_adx_period"": 14, ""xrp_adx_regime_threshold"": 29, ""xrp_atr_period"": 16, ""xrp_bb_period"": 19, ""xrp_bb_std"": 1.279, ""xrp_rsi_overbought"": 63, ""xrp_rsi_oversold"": 28, ""xrp_rsi_period"": 18, ""atr_stoploss_multiplier"": 1.741, ""rsi_exit"": 66, ""rsi_exit_short"": 31, ""xrp_atr_stoploss_multiplier"": 1.525, ""xrp_rsi_exit"": 57, ""xrp_rsi_exit_short"": 40}, ""minimal_roi"": {""0"": 0.27, ""453"": 0.194, ""745"": 0.079, ""1012"": 0}, ""stoploss"": -0.165, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230418-20230717,20230717-20230816,0.83,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 25, ""atr_period"": 13, ""bb_period"": 24, ""bb_std"": 1.356, ""rsi_overbought"": 72, ""rsi_oversold"": 26, ""rsi_period"": 16, ""xrp_adx_period"": 18, ""xrp_adx_regime_threshold"": 33, ""xrp_atr_period"": 10, ""xrp_bb_period"": 23, ""xrp_bb_std"": 2.927, ""xrp_rsi_overbought"": 62, ""xrp_rsi_oversold"": 37, ""xrp_rsi_period"": 18, ""atr_stoploss_multiplier"": 2.533, ""rsi_exit"": 60, ""rsi_exit_short"": 42, ""xrp_atr_stoploss_multiplier"": 1.422, ""xrp_rsi_exit"": 64, ""xrp_rsi_exit_short"": 32}, ""minimal_roi"": {""0"": 0.223, ""447"": 0.152, ""1028"": 0.063, ""2373"": 0}, ""stoploss"": -0.154, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20230518-20230816,20230816-20230915,0.71,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 32, ""atr_period"": 12, ""bb_period"": 23, ""bb_std"": 2.064, ""rsi_overbought"": 68, ""rsi_oversold"": 31, ""rsi_period"": 20, ""xrp_adx_period"": 10, ""xrp_adx_regime_threshold"": 23, ""xrp_atr_period"": 13, ""xrp_bb_period"": 23, ""xrp_bb_std"": 2.514, ""xrp_rsi_overbought"": 59, ""xrp_rsi_oversold"": 45, ""xrp_rsi_period"": 19, ""atr_stoploss_multiplier"": 1.579, ""rsi_exit"": 64, ""rsi_exit_short"": 45, ""xrp_atr_stoploss_multiplier"": 2.258, ""xrp_rsi_exit"": 57, ""xrp_rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.397, ""135"": 0.158, ""714"": 0.047, ""1742"": 0}, ""stoploss"": -0.273, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
