train_range,test_range,test_total_profit_pct,best_params
20220622-20220920,20220920-20221020,1.86,"{""params"": {""adx_period"": 18, ""adx_threshold"": 21, ""atr_period"": 13, ""bb_period"": 15, ""bb_std"": 1.616, ""macd_fast"": 9, ""macd_signal"": 8, ""macd_slow"": 28, ""stoch_d_period"": 6, ""stoch_k_period"": 15, ""stoch_threshold"": 47, ""xrp_adx_period"": 12, ""xrp_adx_threshold"": 24, ""xrp_atr_period"": 15, ""xrp_bb_period"": 17, ""xrp_bb_std"": 2.017, ""xrp_macd_fast"": 10, ""xrp_macd_signal"": 9, ""xrp_macd_slow"": 29, ""xrp_stoch_d_period"": 4, ""xrp_stoch_k_period"": 15, ""xrp_stoch_threshold"": 55, ""atr_stoploss_multiplier"": 3.954, ""stoch_overbought"": 81, ""stoch_oversold"": 24, ""xrp_atr_stoploss_multiplier"": 3.173, ""xrp_stoch_overbought"": 85, ""xrp_stoch_oversold"": 17}, ""minimal_roi"": {""0"": 0.543, ""153"": 0.12, ""599"": 0.034, ""1287"": 0}, ""stoploss"": -0.235, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20220722-20221020,20221020-20221119,0.32,"{""params"": {""adx_period"": 13, ""adx_threshold"": 21, ""atr_period"": 17, ""bb_period"": 17, ""bb_std"": 2.468, ""macd_fast"": 8, ""macd_signal"": 12, ""macd_slow"": 26, ""stoch_d_period"": 3, ""stoch_k_period"": 19, ""stoch_threshold"": 51, ""xrp_adx_period"": 12, ""xrp_adx_threshold"": 21, ""xrp_atr_period"": 17, ""xrp_bb_period"": 25, ""xrp_bb_std"": 1.743, ""xrp_macd_fast"": 8, ""xrp_macd_signal"": 9, ""xrp_macd_slow"": 22, ""xrp_stoch_d_period"": 5, ""xrp_stoch_k_period"": 18, ""xrp_stoch_threshold"": 55, ""atr_stoploss_multiplier"": 3.284, ""stoch_overbought"": 90, ""stoch_oversold"": 22, ""xrp_atr_stoploss_multiplier"": 3.193, ""xrp_stoch_overbought"": 75, ""xrp_stoch_oversold"": 22}, ""minimal_roi"": {""0"": 0.381, ""221"": 0.108, ""374"": 0.069, ""1750"": 0}, ""stoploss"": -0.145, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20220821-20221119,20221119-20221219,0.39,"{""params"": {""adx_period"": 16, ""adx_threshold"": 27, ""atr_period"": 10, ""bb_period"": 15, ""bb_std"": 1.859, ""macd_fast"": 14, ""macd_signal"": 7, ""macd_slow"": 29, ""stoch_d_period"": 3, ""stoch_k_period"": 17, ""stoch_threshold"": 53, ""xrp_adx_period"": 16, ""xrp_adx_threshold"": 23, ""xrp_atr_period"": 15, ""xrp_bb_period"": 16, ""xrp_bb_std"": 2.075, ""xrp_macd_fast"": 12, ""xrp_macd_signal"": 11, ""xrp_macd_slow"": 27, ""xrp_stoch_d_period"": 6, ""xrp_stoch_k_period"": 20, ""xrp_stoch_threshold"": 49, ""atr_stoploss_multiplier"": 2.232, ""stoch_overbought"": 85, ""stoch_oversold"": 15, ""xrp_atr_stoploss_multiplier"": 2.968, ""xrp_stoch_overbought"": 87, ""xrp_stoch_oversold"": 24}, ""minimal_roi"": {""0"": 0.275, ""245"": 0.163, ""931"": 0.061, ""1236"": 0}, ""stoploss"": -0.142, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20220920-20221219,20221219-20230118,13.6,"{""params"": {""adx_period"": 15, ""adx_threshold"": 24, ""atr_period"": 10, ""bb_period"": 17, ""bb_std"": 1.862, ""macd_fast"": 10, ""macd_signal"": 12, ""macd_slow"": 20, ""stoch_d_period"": 5, ""stoch_k_period"": 13, ""stoch_threshold"": 52, ""xrp_adx_period"": 11, ""xrp_adx_threshold"": 22, ""xrp_atr_period"": 19, ""xrp_bb_period"": 17, ""xrp_bb_std"": 2.398, ""xrp_macd_fast"": 14, ""xrp_macd_signal"": 11, ""xrp_macd_slow"": 26, ""xrp_stoch_d_period"": 4, ""xrp_stoch_k_period"": 17, ""xrp_stoch_threshold"": 49, ""atr_stoploss_multiplier"": 2.846, ""stoch_overbought"": 76, ""stoch_oversold"": 12, ""xrp_atr_stoploss_multiplier"": 1.861, ""xrp_stoch_overbought"": 89, ""xrp_stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.59, ""332"": 0.158, ""773"": 0.065, ""1839"": 0}, ""stoploss"": -0.097, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20221020-20230118,20230118-20230217,0.25,"{""params"": {""adx_period"": 11, ""adx_threshold"": 20, ""atr_period"": 16, ""bb_period"": 20, ""bb_std"": 1.693, ""macd_fast"": 12, ""macd_signal"": 12, ""macd_slow"": 29, ""stoch_d_period"": 3, ""stoch_k_period"": 17, ""stoch_threshold"": 47, ""xrp_adx_period"": 10, ""xrp_adx_threshold"": 24, ""xrp_atr_period"": 18, ""xrp_bb_period"": 19, ""xrp_bb_std"": 2.407, ""xrp_macd_fast"": 15, ""xrp_macd_signal"": 10, ""xrp_macd_slow"": 22, ""xrp_stoch_d_period"": 6, ""xrp_stoch_k_period"": 18, ""xrp_stoch_threshold"": 55, ""atr_stoploss_multiplier"": 2.017, ""stoch_overbought"": 75, ""stoch_oversold"": 18, ""xrp_atr_stoploss_multiplier"": 2.007, ""xrp_stoch_overbought"": 83, ""xrp_stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.423, ""199"": 0.084, ""508"": 0.025, ""1766"": 0}, ""stoploss"": -0.069, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20221119-20230217,20230217-20230319,0.03,"{""params"": {""adx_period"": 20, ""adx_threshold"": 28, ""atr_period"": 13, ""bb_period"": 22, ""bb_std"": 2.356, ""macd_fast"": 8, ""macd_signal"": 12, ""macd_slow"": 30, ""stoch_d_period"": 5, ""stoch_k_period"": 17, ""stoch_threshold"": 47, ""xrp_adx_period"": 16, ""xrp_adx_threshold"": 24, ""xrp_atr_period"": 20, ""xrp_bb_period"": 20, ""xrp_bb_std"": 2.213, ""xrp_macd_fast"": 15, ""xrp_macd_signal"": 9, ""xrp_macd_slow"": 28, ""xrp_stoch_d_period"": 5, ""xrp_stoch_k_period"": 16, ""xrp_stoch_threshold"": 51, ""atr_stoploss_multiplier"": 3.063, ""stoch_overbought"": 83, ""stoch_oversold"": 13, ""xrp_atr_stoploss_multiplier"": 2.326, ""xrp_stoch_overbought"": 78, ""xrp_stoch_oversold"": 24}, ""minimal_roi"": {""0"": 0.118, ""137"": 0.091, ""701"": 0.027, ""1686"": 0}, ""stoploss"": -0.135, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20221219-20230319,20230319-20230418,0.25,"{""params"": {""adx_period"": 13, ""adx_threshold"": 22, ""atr_period"": 19, ""bb_period"": 25, ""bb_std"": 1.601, ""macd_fast"": 13, ""macd_signal"": 9, ""macd_slow"": 26, ""stoch_d_period"": 5, ""stoch_k_period"": 16, ""stoch_threshold"": 49, ""xrp_adx_period"": 10, ""xrp_adx_threshold"": 22, ""xrp_atr_period"": 10, ""xrp_bb_period"": 25, ""xrp_bb_std"": 2.388, ""xrp_macd_fast"": 16, ""xrp_macd_signal"": 12, ""xrp_macd_slow"": 29, ""xrp_stoch_d_period"": 5, ""xrp_stoch_k_period"": 15, ""xrp_stoch_threshold"": 53, ""atr_stoploss_multiplier"": 1.969, ""stoch_overbought"": 78, ""stoch_oversold"": 10, ""xrp_atr_stoploss_multiplier"": 3.173, ""xrp_stoch_overbought"": 90, ""xrp_stoch_oversold"": 18}, ""minimal_roi"": {""0"": 0.533, ""333"": 0.231, ""621"": 0.081, ""1764"": 0}, ""stoploss"": -0.305, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20230118-20230418,20230418-20230518,2.02,"{""params"": {""adx_period"": 14, ""adx_threshold"": 29, ""atr_period"": 20, ""bb_period"": 25, ""bb_std"": 1.743, ""macd_fast"": 15, ""macd_signal"": 8, ""macd_slow"": 24, ""stoch_d_period"": 5, ""stoch_k_period"": 17, ""stoch_threshold"": 53, ""xrp_adx_period"": 12, ""xrp_adx_threshold"": 23, ""xrp_atr_period"": 11, ""xrp_bb_period"": 24, ""xrp_bb_std"": 1.812, ""xrp_macd_fast"": 10, ""xrp_macd_signal"": 12, ""xrp_macd_slow"": 24, ""xrp_stoch_d_period"": 6, ""xrp_stoch_k_period"": 11, ""xrp_stoch_threshold"": 48, ""atr_stoploss_multiplier"": 3.532, ""stoch_overbought"": 90, ""stoch_oversold"": 24, ""xrp_atr_stoploss_multiplier"": 3.397, ""xrp_stoch_overbought"": 78, ""xrp_stoch_oversold"": 14}, ""minimal_roi"": {""0"": 0.413, ""311"": 0.094, ""605"": 0.028, ""1759"": 0}, ""stoploss"": -0.262, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20230217-20230518,20230518-20230617,0.44,"{""params"": {""adx_period"": 20, ""adx_threshold"": 30, ""atr_period"": 12, ""bb_period"": 15, ""bb_std"": 2.239, ""macd_fast"": 14, ""macd_signal"": 8, ""macd_slow"": 25, ""stoch_d_period"": 5, ""stoch_k_period"": 19, ""stoch_threshold"": 54, ""xrp_adx_period"": 18, ""xrp_adx_threshold"": 30, ""xrp_atr_period"": 13, ""xrp_bb_period"": 25, ""xrp_bb_std"": 1.839, ""xrp_macd_fast"": 8, ""xrp_macd_signal"": 9, ""xrp_macd_slow"": 22, ""xrp_stoch_d_period"": 4, ""xrp_stoch_k_period"": 19, ""xrp_stoch_threshold"": 47, ""atr_stoploss_multiplier"": 1.82, ""stoch_overbought"": 77, ""stoch_oversold"": 12, ""xrp_atr_stoploss_multiplier"": 1.678, ""xrp_stoch_overbought"": 80, ""xrp_stoch_oversold"": 14}, ""minimal_roi"": {""0"": 0.541, ""130"": 0.082, ""429"": 0.053, ""1296"": 0}, ""stoploss"": -0.267, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20230319-20230617,20230617-20230717,1.3,"{""params"": {""adx_period"": 10, ""adx_threshold"": 20, ""atr_period"": 13, ""bb_period"": 15, ""bb_std"": 2.205, ""macd_fast"": 9, ""macd_signal"": 8, ""macd_slow"": 28, ""stoch_d_period"": 4, ""stoch_k_period"": 20, ""stoch_threshold"": 49, ""xrp_adx_period"": 10, ""xrp_adx_threshold"": 28, ""xrp_atr_period"": 16, ""xrp_bb_period"": 19, ""xrp_bb_std"": 1.748, ""xrp_macd_fast"": 16, ""xrp_macd_signal"": 8, ""xrp_macd_slow"": 25, ""xrp_stoch_d_period"": 3, ""xrp_stoch_k_period"": 10, ""xrp_stoch_threshold"": 53, ""atr_stoploss_multiplier"": 2.665, ""stoch_overbought"": 79, ""stoch_oversold"": 14, ""xrp_atr_stoploss_multiplier"": 2.947, ""xrp_stoch_overbought"": 81, ""xrp_stoch_oversold"": 25}, ""minimal_roi"": {""0"": 0.329, ""306"": 0.144, ""832"": 0.092, ""2259"": 0}, ""stoploss"": -0.185, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
